Experiment-series,Dataset-name,Experiment-name,count,testing/ensemble_3/accuracy_top_1-epoch-mean,testing/ensemble_3/accuracy_top_5-epoch-mean,testing/ensemble_3/aps-macro,testing/ensemble_3/auc-macro,testing/ensemble_3/bs-macro,testing/ensemble_3/image_to_text_accuracy-epoch-mean,testing/ensemble_3/image_to_text_accuracy_top_5-epoch-mean,testing/ensemble_3/text_to_image_accuracy-epoch-mean,testing/ensemble_3/text_to_image_accuracy_top_5-epoch-mean
hades,vggfs,hades-vggfs-efficientnetv2-rw-s-ra2-in1k,1,0.9350488185882568,,,,,,,,
hades,svhn,hades-svhn-resnet50-a1-in1k,2,92.42046737670898,99.28641128540038,,,,,,,
hades,in1k,hades-in1k-clip-vit-base16-224,2,72.95436477661133,93.04168319702148,,,,,,,
hades,dr,hades-dr-clip-vit-base16-224,1,,,0.48733487682481264,0.7963766429791702,0.07938085652402542,,,,
hades,f101,hades-f101-resnet50-a1-in1k,1,82.5390853881836,95.65577697753906,,,,,,,
hades,svhn,hades-svhn-augreg-vit-base16-224-in1k,1,89.82460021972656,98.38516998291016,,,,,,,
hades,c100,hades-c100-augreg-vit-base16-224-in1k,2,53.81230354309082,80.97309875488281,,,,,,,
hades,airfs,hades-airfs-augreg-vit-base16-224-in1k-1337,1,0.7192602753639221,,,,,,,,
hades,winogr,hades-winogr-timm-vit-base16-224-1337,1,,,,,,0.5256944298744202,1.0,0.5116666555404663,1.0
hades,winogr,hades-winogr-clip-vit-base16-224-1337,1,,,,,,0.5262500047683716,1.0,0.514305591583252,1.0
hades,fungifs,hades-fungifs-resnet50-a1-in1k,1,0.7563223838806152,,,,,,,,
hades,c100,hades-c100-deit3-base-patch16-224-fb-in1k,3,64.72178268432617,88.68670654296875,,,,,,,
hades,omnifs,hades-omnifs-resnext50-32x4d-a1-in1k,1,0.9891757965087892,,,,,,,,
hades,dtextfs,hades-dtextfs-efficientnetv2-rw-s-ra2-in1k,1,0.8213603496551514,,,,,,,,
hades,dtextfs,hades-dtextfs-resnet50-a1-in1k,1,0.6272174715995789,,,,,,,,
hades,svhn,hades-svhn-resnext50-32x4d-a1-in1k,3,93.6725591023763,99.35917154947917,,,,,,,
hades,vggfs,hades-vggfs-resnext50-32x4d-a1-in1k,1,0.8777309060096741,,,,,,,,
hades,c100,hades-c100-resnet50-a1-in1k,2,54.34137535095215,81.88785552978516,,,,,,,
hades,dr,hades-dr-efficientnetv2-rw-s-ra2-in1k,1,,,0.4294087796758236,0.7796428441998438,0.08929527654122363,,,,
hades,chx,hades-chx-clip-vit-base16-224,1,,,0.5491792956842904,0.772684189588167,0.18012987839899763,,,,
hades,clvr,hades-clvr-resnet50-a1-in1k,1,41.10979843139648,94.7196807861328,,,,,,,
hades,nycc,hades-nycc-resnext50-32x4d-a1-in1k,1,,,,,,0.015770457684993744,0.08479730039834976,0.020204579457640648,0.09152121096849442
hades,in1k,hades-in1k-augreg-vit-base16-224-in1k,2,78.88307189941406,93.31122207641602,,,,,,,
hades,clvr,hades-clvr-resnext50-32x4d-a1-in1k,1,42.38720703125,95.73748016357422,,,,,,,
hades,c100,hades-c100-laion-vit-base16-224,2,71.51898956298828,91.44580459594727,,,,,,,
hades,chx,hades-chx-augreg-vit-base16-224-in1k,1,,,0.520864928746019,0.7573003243443874,0.2044154139375541,,,,
hades,c100,hades-c100-efficientnetv2-rw-s-ra2-in1k,3,37.21321233113607,67.99841944376628,,,,,,,
hades,p365,hades-p365-resnet50-a1-in1k,1,46.46689224243164,78.91553497314453,,,,,,,
hades,c100,hades-c100-dino-vit-base16-224,2,62.59394836425781,86.69897079467773,,,,,,,
hades,f101,hades-f101-resnext50-32x4d-a1-in1k,3,81.84332275390625,95.60216013590495,,,,,,,
hades,clvrmath,hades-clvrmath-resnext50-32x4d-a1-in1k,1,14.79572582244873,64.47517395019531,,,,,,,
hades,p365,hades-p365-deit3-base-patch16-224-fb-in1k,2,49.44083213806152,81.19973754882812,,,,,,,
hades,svhn,hades-svhn-efficientnetv2-rw-s-ra2-in1k,3,77.2812016805013,96.79032135009766,,,,,,,
hades,f101,hades-f101-dino-vit-base16-224,2,83.91961669921875,96.16918182373047,,,,,,,
hades,chx,hades-chx-efficientnetv2-rw-s-ra2-in1k,1,,,0.41524891584007034,0.6886468713362026,0.23454973572393448,,,,
hades,stl10,hades-stl10-deit3-base-patch16-224-fb-in1k,2,97.60664367675781,99.89459228515625,,,,,,,
hades,svhn,hades-svhn-deit3-base-patch16-224-fb-in1k,1,93.03131103515624,99.11151885986328,,,,,,,
hades,airfs,hades-airfs-deit3-base-patch16-224-fb-in1k,1,0.9427188038825988,,,,,,,,
hades,dr,hades-dr-resnext50-32x4d-a1-in1k,1,,,0.527815646762708,0.8271872136124857,0.0762104988967228,,,,
hades,omnifs,hades-omnifs-clip-vit-base16-224,1,0.9915034770965576,,,,,,,,
hades,clvrmath,hades-clvrmath-flexivit-base-1200ep-in1k,1,34.17975997924805,90.33312225341795,,,,,,,
hades,nycc,hades-nycc-laion-vit-base16-224,1,,,,,,0.0378425307571888,0.13431867957115173,0.037664227187633514,0.1374530792236328
hades,airfs,hades-airfs-augreg-vit-base16-224-in1k,1,0.9220533967018129,,,,,,,,
hades,clvr,hades-clvr-augreg-vit-base16-224-in1k,1,53.62115859985352,99.34940338134766,,,,,,,
hades,fungifs,hades-fungifs-flexivit-base-1200ep-in1k,1,0.8716350197792053,,,,,,,,
hades,miniinfs,hades-miniinfs-sam-vit-base16-224-in1k,1,0.9903340935707092,,,,,,,,
hades,omnifs,hades-omnifs-laion-vit-base16-224,1,0.9928779006004332,,,,,,,,
hades,flickr30k,hades-flickr30k-deit3-base-patch16-224-fb-in1k,1,,,,,,0.030940312892198563,0.11006943881511688,0.0306963212788105,0.111125186085701
hades,vggfs,hades-vggfs-sam-vit-base16-224-in1k,1,0.9576478004455566,,,,,,,,
hades,flickr30k,hades-flickr30k-clip-vit-base16-224,1,,,,,,0.054312124848365784,0.15929992496967316,0.045964714139699936,0.15377721190452576
hades,dr,hades-dr-dino-vit-base16-224,1,,,0.48330184001981824,0.7853089454398327,0.08591538465028496,,,,
hades,clvrmath,hades-clvrmath-dino-vit-base16-224,1,28.799497604370117,90.04399871826172,,,,,,,
